"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_min"
"1","Thibaut Courtois","Goalkeeper","1992-05-11T00:00:00Z",25,"Belgium","Chelsea FC","Premier League","2017/2018",2017,"Thibaut","Courtois",0,0,136,3150,34,0,549,0,4,635,55.2,15,0,2,10.3,53,"1",4.31746031746032
"2","Willy Caballero","Goalkeeper","1981-09-28T00:00:00Z",35,"Argentina","Chelsea FC","Premier League","2017/2018",2017,"Willy","Caballero",0,0,11,270,4,0,55.2,0,0,54,5.5,1,0,0,0.1,48,"1",4.07407407407407
"3","Antonio Rüdiger","Centre-Back","1993-03-03T00:00:00Z",24,"Germany","Chelsea FC","Premier League","2017/2018",2017,"Antonio","Rüdiger",2,1,115,2336,22,83,546.6,217,8,557,84.8,12,0,4,3.3,58,"2",4.92294520547945
"4","Andreas Christensen","Centre-Back","1996-04-10T00:00:00Z",21,"Denmark","Chelsea FC","Premier League","2017/2018",2017,"Andreas","Christensen",0,0,79,2067,23,66.5,466.6,109,4,475,64.3,8,0,0,1.9,53,"2",3.82196419932269
"5","Gary Cahill","Centre-Back","1985-12-19T00:00:00Z",31,"England","Chelsea FC","Premier League","2017/2018",2017,"Gary","Cahill",0,0,74,2082,27,55.6,496.6,99,2,447,65.4,9,1,1,3,62,"2",3.55427473583093
"6","Kurt Zouma","Centre-Back","1994-10-27T00:00:00Z",22,"France","Chelsea FC","Premier League","2017/2018",2017,"Kurt","Zouma",1,0,87,2887,50,91.8,814.2,235,5,554,114.4,7,0,1,2,54,"2",3.0135088326983
"7","Fikayo Tomori","Centre-Back","1997-12-19T00:00:00Z",19,"England","Chelsea FC","Premier League","2017/2018",2017,"Fikayo","Tomori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"2",NA
"8","Trevoh Chalobah","Centre-Back","1999-07-05T00:00:00Z",17,"England","Chelsea FC","Premier League","2017/2018",2017,"Trevoh","Chalobah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"9","Ethan Ampadu","Centre-Back","2000-09-14T00:00:00Z",16,"Wales","Chelsea FC","Premier League","2017/2018",2017,"Ethan","Ampadu",0,0,1,10,1,0,7.4,0,0,6,0.7,0,0,0,0,45,"2",10
"10","Marcos Alonso","Left-Back","1990-12-28T00:00:00Z",26,"Spain","Chelsea FC","Premier League","2017/2018",2017,"Marcos","Alonso",7,2,165,2855,30,549.6,697.8,822,15,650,207.1,13,0,6,16.2,71,"2",5.77933450087566
